year month day hour kwh cumulated_kwh
2015 1 31 4 58 867073
2015 1 31 5 66 867139
2015 1 31 6 60 867199
2015 1 31 7 67 867266
2015 1 31 8 64 867330
2015 1 31 9 67 867397
2015 1 31 10 65 867462
2015 1 31 11 70 867532
2015 1 31 12 69 867601
2015 1 31 13 68 867669
2015 1 31 14 66 867735
2015 1 31 15 67 867802
2015 1 31 16 62 867864
2015 1 31 17 64 867928
2015 1 31 18 65 867993
2015 1 31 19 65 868058
2015 1 31 20 66 868124
2015 1 31 21 54 868178
2015 1 31 22 NA 868178
2015 1 31 23 NA 868178
2015 2 1 0 NA 868178
2015 2 1 1 NA 868178
2015 2 1 2 NA 868178
2015 2 1 3 NA 868178
2015 2 1 4 NA 868178
2015 2 1 5 NA 868178
2015 2 1 6 NA 868178
2015 2 1 7 NA 868178
2015 2 1 8 NA 868178
2015 2 1 9 NA 868178
2015 2 1 10 NA 868178
2015 2 1 11 NA 868178
2015 2 1 12 NA 868178
2015 2 1 13 NA 868178
2015 2 1 14 NA 868178
2015 2 1 15 NA 868178
2015 2 1 16 NA 868178
2015 2 1 17 NA 868178
2015 2 1 18 NA 868178
2015 2 1 19 NA 868178
2015 2 1 20 NA 868178
2015 2 1 21 NA 868178
2015 2 1 22 NA 868178
2015 2 1 23 NA 868178
2015 2 2 0 NA 868178
2015 2 2 1 NA 868178
2015 2 2 2 NA 868178
2015 2 2 3 NA 868178
2015 2 2 4 NA 868178
2015 2 2 5 NA 868178
2015 2 2 6 NA 868178
2015 2 2 7 NA 868178
2015 2 2 8 NA 868178
2015 2 2 9 NA 868178
2015 2 2 10 NA 868178
2015 2 2 11 NA 868178
2015 2 2 12 NA 868178
2015 2 2 13 NA 868178
2015 2 2 14 NA 868178
2015 2 2 15 NA 868178
2015 2 2 16 NA 868178
2015 2 2 17 1 868179
2015 2 2 18 28 868207
2015 2 2 19 28 868235
2015 2 2 20 27 868262
2015 2 2 21 20 868282
2015 2 2 22 20 868302
2015 2 2 23 17 868319
2015 2 3 0 16 868335
2015 2 3 1 16 868351
2015 2 3 2 18 868369
2015 2 3 3 17 868386
2015 2 3 4 23 868409
2015 2 3 5 48 868457
2015 2 3 6 57 868514
2015 2 3 7 59 868573
2015 2 3 8 64 868637
2015 2 3 9 53 868690
2015 2 3 10 37 868727
2015 2 3 11 28 868755
2015 2 3 12 22 868777
2015 2 3 13 18 868795
2015 2 3 14 22 868817
2015 2 3 15 25 868842
2015 2 3 16 31 868873
2015 2 3 17 23 868896
2015 2 3 18 29 868925
2015 2 3 19 29 868954
2015 2 3 20 28 868982
2015 2 3 21 29 869011
2015 2 3 22 28 869039
2015 2 3 23 29 869068
2015 2 4 0 25 869093
2015 2 4 1 25 869118
2015 2 4 2 22 869140
2015 2 4 3 22 869162
2015 2 4 4 20 869182
2015 2 4 5 20 869202
2015 2 4 6 19 869221
2015 2 4 7 22 869243
2015 2 4 8 26 869269
2015 2 4 9 34 869303
2015 2 4 10 43 869346
2015 2 4 11 46 869392
2015 2 4 12 51 869443
2015 2 4 13 62 869505
2015 2 4 14 83 869588
2015 2 4 15 82 869670
2015 2 4 16 84 869754
2015 2 4 17 75 869829
2015 2 4 18 83 869912
2015 2 4 19 84 869996
2015 2 4 20 84 870080
2015 2 4 21 84 870164
2015 2 4 22 80 870244
2015 2 4 23 76 870320
2015 2 5 0 75 870395
2015 2 5 1 78 870473
2015 2 5 2 83 870556
2015 2 5 3 84 870640
2015 2 5 4 87 870727
2015 2 5 5 83 870810
2015 2 5 6 80 870890
2015 2 5 7 80 870970
2015 2 5 8 80 871050
2015 2 5 9 77 871127
2015 2 5 10 72 871199
2015 2 5 11 69 871268
2015 2 5 12 59 871327
2015 2 5 13 61 871388
2015 2 5 14 64 871452
2015 2 5 15 65 871517
2015 2 5 16 65 871582
2015 2 5 17 68 871650
2015 2 5 18 67 871717
2015 2 5 19 72 871789
2015 2 5 20 74 871863
2015 2 5 21 75 871938
2015 2 5 22 68 872006
2015 2 5 23 62 872068
2015 2 6 0 56 872124
2015 2 6 1 50 872174
2015 2 6 2 45 872219
2015 2 6 3 47 872266
2015 2 6 4 39 872305
2015 2 6 5 35 872340
2015 2 6 6 41 872381
2015 2 6 7 39 872420
2015 2 6 8 48 872468
2015 2 6 9 49 872517
2015 2 6 10 53 872570
2015 2 6 11 53 872623
2015 2 6 12 47 872670
2015 2 6 13 42 872712
2015 2 6 14 46 872758
2015 2 6 15 50 872808
2015 2 6 16 48 872856
2015 2 6 17 48 872904
2015 2 6 18 45 872949
2015 2 6 19 38 872987
2015 2 6 20 38 873025
2015 2 6 21 39 873064
2015 2 6 22 38 873102
2015 2 6 23 37 873139
2015 2 7 0 31 873170
2015 2 7 1 31 873201
2015 2 7 2 30 873231
2015 2 7 3 30 873261
2015 2 7 4 36 873297
2015 2 7 5 37 873334
2015 2 7 6 32 873366
2015 2 7 7 31 873397
2015 2 7 8 25 873422
2015 2 7 9 32 873454
2015 2 7 10 32 873486
2015 2 7 11 31 873517
2015 2 7 12 34 873551
2015 2 7 13 34 873585
2015 2 7 14 33 873618
2015 2 7 15 31 873649
2015 2 7 16 33 873682
2015 2 7 17 32 873714
2015 2 7 18 34 873748
2015 2 7 19 27 873775
2015 2 7 20 25 873800
2015 2 7 21 21 873821
2015 2 7 22 18 873839
2015 2 7 23 17 873856
2015 2 8 0 14 873870
2015 2 8 1 12 873882
2015 2 8 2 11 873893
2015 2 8 3 11 873904
2015 2 8 4 11 873915
2015 2 8 5 9 873924
2015 2 8 6 8 873932
2015 2 8 7 9 873941
2015 2 8 8 9 873950
2015 2 8 9 16 873966
2015 2 8 10 16 873982
2015 2 8 11 18 874000
2015 2 8 12 21 874021
2015 2 8 13 22 874043
2015 2 8 14 26 874069
2015 2 8 15 48 874117
2015 2 8 16 55 874172
2015 2 8 17 58 874230
2015 2 8 18 52 874282
2015 2 8 19 49 874331
2015 2 8 20 41 874372
2015 2 8 21 36 874408
2015 2 8 22 37 874445
2015 2 8 23 41 874486
2015 2 9 0 48 874534
2015 2 9 1 48 874582
2015 2 9 2 54 874636
2015 2 9 3 57 874693
2015 2 9 4 56 874749
